Carimbo de data/hora	Nome da escola	Ano que está cursando	Qual é a identificação (ID) do gene suspeito?	Qual é o número do cromossomo (Chr) da soja onde este gene está?	Qual parte ou quais partes da planta aparecem mais destacadas?	Qual é a média e a mediana de expressão do gene para cada uma das partes identificadas?	O valor de "Tau" desse gene é alto ou baixo? Qual é o valor?	É um gene específico para alguma(s) parte(s) da planta? Diga qual ou quais partes caso seja específico. 	Você como um detetive super competente acabou de reunir várias informações sobre o gene investigado. Reunindo todas essas provas, qual é a sua hipótese sobre a função desse gene na soja? Ou seja, o que você acha que esse gene faz?	Você gostou de ser um detetive de genes por um dia? 	Você já tinha ouvido falar de expressão gênica?	O que você aprendeu com esta atividade?	O que mais gostou na atividade?	Há alguma sugestão de melhoria?
27/11/2024 15:22:20	CEFET Petrópolis	3º ano	Glyma.02G121600	2	Flor e folha.	Flor: Média: 2.671351e+01TPM Mediana: 26.3137810 TPM	Alto: 0.987	Sim, específico da flor. 	A regulação de crescimento e de processos fecundativos, garantindo a reprodução do vegetal e a formação de novas plantas. Processos regulatórios na flor. 	Sim	Sim	Informações importantes sobre DNA, especificamente da soja. 	O aprendizado dinâmico. 	Não.
27/11/2024 15:25:56	CEFET	3º ano	Glyma.05G244100	O numero do cromossomo é 05	Embrião, semente e tegumento da semente	Semente: Mediana:125 Média:282 Embrião:  Medina:280 Média:070	0,713 largo	Não, ele não específico para nenhuma parte da planta.	Nossa hipótese é que essa função tem haver com processo regulatório da semente.	Sim	Sim	Que a soja tem muito mais genes do que os seres humanos	Descobrir a fução da gene	Não
28/11/2024 14:34:02	CEFET	2º ano	Glyma.04G116500	4	Em quase todo o gráfico, pois ele esta envolvido em processos regulatorios.	Median: 131.48705. Mean: 136.61737	Alta (Broad) 0.154	Não	Regula a fotossíntese	Sim	Não	A genética da soja, e que ela tem mais genes que os seres humanos!	A parte de ser detetive, a dinâmica	Não, muito bom!
28/11/2024 14:38:08	CEFET-RJ	2º ano	Glyma.06G290100	6	Sim, o gene é localizado na parte da semente e do embrião	Mediana = 22.98 Média = 36.03	0,716	Sim, maior na parte do embrião / semente	ajuda na produção de embriões / sementes	Sim	Não	a identifica genes pelo nome e sua numeração.	usar o site e fazer dupla.	Explicação foi ótima, na hora de anotar as informações (detetive) acabou faltando informações pela rapidez da explicação, fora isso, consegui entender por completo durante a aula.
28/11/2024 14:39:10	CEFET-RJ Campus Petrópolis	2º ano	Glyma.12G205700.	12.	Seed, embryo, hypocotyl, radicle e cotyledon.	Radicle:  median - 192.24 mean - 229.13	Alto, 0.691.	Sim, é específico para o radicle (início da raiz).	Esse gene é responsável por algum processo regulatório na raiz, como por exemplo absorver nutrientes.	Sim	Não	A importância do gene para as plantas. 	Ser um detetive do gene.	Não.
28/11/2024 14:39:38	CEFET/RJ campus Petrópolis	2º ano	Glyma.16G043200	16	Nódulo, raiz, vagem e folha.	Média - Nódulo: 113.3 Mediana - Vagem: 96.95	O valor de Tau é alto: 0.627.	Sim. Vagem, nódulo e muda.	Ele ajuda a planta a absorver nutrientes.	Sim	Sim	Sobre as funções de algumas partes das plantas.	Aprender mais sobre plantas de forma interativa.	Não.
28/11/2024 14:40:13	CEFET Petropolis 	2º ano	Glyma.06G084100	6	As folhas e os brotos.	Folhas: mediana = 30,71/ média = 31,53. Brotos: mediana = 27,59/ média = 29,12.	Baixo, 0,388.	Sim, as folhas e brotos.	O gene tem função de proteger as folhas e brotos da soja contra estresses ambientais, como mudanças de temperatura.	Sim	Sim	Composição dos genes na soja.	Agir como um detetive e aprender coisas novas.	Nenhuma.
28/11/2024 14:40:53	Cefet 	2º ano	Glyma.07g186300	no cromossomo 7	Na parte direita da flor	Ela fica em mediana na flor com 18 e em média na flor com 4, na planta inteira com 2 e no pod com 5	Alto. 1	ele pode estar principalmente na vagem da planta	Nós achamos que ele atua na defesa contra microrganismos da soja	Sim	Sim	sobre os genes da soja	em pesquisar sobre os genes	Não
28/11/2024 14:41:21	CEFET-RJ/Uned. Petrópolis	2º ano	Glyma.15G260900	15.	Os nódulos.	Mediana: 221.5 nos nódulos. Média: 2.767784 na planta inteira, 1.801752 na raiz e 2.247909 nos nódulos. 	0.999 é o valor do Tau. Logo, é um valor consideravelmente alto.	Sim. É um gene específico dos nódulos da planta.	Acredito que ele seja responsável pelo desenvolvimento de nódulos nas raízes da planta da soja, para que haja a absorção de nitrogênio. 	Sim	Sim	Algumas informações a respeito do genoma da soja, de sua produção e possíveis funções. 	De pesquisar no atlas sobre o gene proposto.	Não. 
28/11/2024 14:41:53	CEFET/RJ Petrópolis	2º ano	Glyma.15G049200	Chr: 15	A casca da semente (seed coat).	Mediana: seet coast = 212.18; Mediana: seet = 5.29 Média: seet coast = 2.83; Média: seet = 5.06	Alto! O valor é: 0.974	Sim. Casca e semente.	Ele transporta açúcar!	Sim	Não	Aprendi sobre expressão gênica, descobri mais sobre a soja e desenvolvi senso de investigadora.	De investigar.	Não!
28/11/2024 14:42:05	CEFET/RJ Campus Petrópolis 	2º ano	Glyma.10G246300	10	Nas sementes, no cotilédone e no embrião. 	Embryo: média - 1045.86 / mediana - 4640.67.	Ele é alto, mas não se específica em nenhuma parte. Seu valor é 0,796.	Sim, das partes que ele é mais expresso. No cotilédone, semente e embrião. 	Suponho que ele faz a absorção de energia vinda da planta mãe. 	Sim	Não	A genética da soja e outras coisas básicas que não sabia com tanta certeza. 	A parte de ser detetive. 	Não.
28/11/2024 14:42:05	CEFET - campus Petrópolis	2º ano	Glyma.10G246300	10	Nas sementes, cotilédone e no embrião.	Embryo: média - 1045.86 / mediana - 4640.67	Ele é alto, mas não se especifica em nenhuma parte. Seu valor é 0.796	Sim das partes que ele é mais expresso. No cotilédone, semente e embrião	Suponho que ele faz a absorção de energia vinda da planta mãe.	Sim	Não	A genética a soja e outras coisas básicas que não sabia com tanta certeza.	De ser detetive.	Não.
28/11/2024 14:42:17	Cefet Uned Petrópolis	2º ano	Glyma.10G246300	10	Nas sementes, cotilédone e no embrião.	Embryo: média - 1045.86 / mediana - 4640.67	Ele é alto, mas não se especifica em nenhuma parte. Seu valor é 0.796	Sim das partes que ele é mais expresso. No cotilédone, semente e embrião	Suponho que ele faz a absorção de energia vinda da planta mãe.	Sim	Não	Aprender sobre a genética da soja	A parte investigativa.	Fazer mais vezes.
28/11/2024 14:42:22	CEFET-RJ Uned Petrópolis	2º ano	Glyma.08G183500	8	Sementes, tegumentos, embrião e vagem de forma reduzida	Semente: mediana= 102.9132120 média= 3.117997e+02 Tegumento: mediana= 1517.3299370 média= 1.533064e+03	Alto, seu valor é 0,912	Sim, semente, tegumento, suspensor, embrião e endosperma	Transporte proteína para o desenvolvimento embrionário e para a maturação das sementes.	Sim	Sim	Aprendi sobre o ciclo da soja, suas utilidades como produto, impacto na economia brasileira, como funciona a parte biológica da planta e sobre seus genes	O atlas interativo 	Não
28/11/2024 14:44:54	Cefet-RJ (Campus Petrópolis)	2º ano	Glyma.11G234600	No cromossomo 11.	Na plântula, na raiz e nas flores da planta principalmente.	Plântula: - Média = 50.01 - Mediana = 41.39 Raiz: - Média = 20.54 - Mediana = 16.06 Flores: - Média = 18.82 - Mediana = 17.51	0.494. Baixo	Há a concentração de genes em algumas partes específicas da planta, como na sua raiz, em suas flores, e na plântula	Após todas as provas e descrições, nós concluímos que esse gene serve como um transportador de aminoácidos na planta.	Sim	Não	Aprendemos diversos tópicos envolvendo genética e ácidos nucleicos, desenvolvendo melhor nossos pensamentos sobre o interior da soja e o que ocorre lá.	Gostamos da forma simples e didática que tudo foi apresentado	Não temos sugestões de melhoria
21/10/2024 14:02:54	C. E. Visconde do Rio Branco	3º ano	116500	4	Plantula	Mediana: 237.11288 Média: 215.13274	154	Não.	Dar cor.	Sim	Não	Como funciona o DNA da soja.	A interação como detetive.	Ta perfeito.
21/10/2024 14:08:25	C.E Visconde Do Rio Branco	2º ano	glyma.15G260900	15	Raíz	Média: 221.51 Mediana: 2.24	Alto. Valor: 0,999	Nódulo	O nódulo tem bactérias que auxiliam na capitação de nitrogênio no ar. 	Sim	Não	Como de fato funciona o DNA de uma semente de soja, com um maravilhoso atlas.	O atlas e suas informações.	Não.
21/10/2024 14:10:56	viconde do rio branco	2º ano	Glyma.06G290100	6	e expresso em toda a folha 	173093475,33187454288,197758090,21415186184	baixo,0.716	ele nao e especifico	esse gene ele e responsavel por desenvolver as funcios das celulas	Sim	Sim	coisas sobre os genes	a brincadeira	nao
21/10/2024 14:12:58	Colégio Estadual Visconde do Rio Branco	2º ano	121500	2	Flor	61.03	Alto, 0.882	semente, tegumento, vagem e flor.	E uma proteína regulatória MADS BOX relacionada AGL3.	Sim	Sim	Aprendemos sobre genes, números de (Chr) 	Tudo	estudar mais
21/10/2024 14:14:49	Escola Estadual visconde Do Rio Branco	3º ano	Glyma.15G049200	15	tegumento e semente.	mediana:212.18 e media: 2.83	alto, 0,974	na capinha da semente	Transporte de açucar	Sim	Sim	eu aprendi sobre as plantas	tudo	não
22/10/2024 10:16:25	CE Nilo Peçanha	3º ano	Glyma.06G290100	6	Folhas e raiz.	Média 36.03, Mediana 22.98	Alto, 0,716	Não é especifico.	Ele armazena os nutrientes dentro da planta, ajudando a regular os genes, mantendo a saúde e o equilíbrio da planta.	Sim	Não	Descobrimos que a soja é muito mais interessante do que imaginávamos.	Investigar sobre o gene e descobrir sua função.	A tradução do site seria legal.
22/10/2024 10:17:12	Colégio Estadual Nilo Peçanha	3º ano	Glyma.13G347500	13	Cotilédone, embrião e semente 	A média é de 1,48 TPM e já a mediana 36,11 TPM	Alto, o valor é de 0,859	Cotilédone, embrião e semente 	A produção de biocombustível	Sim	Não	sobre a soja, oque contém em seu interior.	Descobrir sobre a soja e descobrir sua função e características	não
22/10/2024 10:17:48	Nilo peçanha 	3º ano	Glyma.20G146200	20	Semente	Média 3761 e mediana 1.8418	0,907	Cotiledone e semente	Crescimento 	Sim	Não	Funções e genes da semente 	Pesquisar	Não 
22/10/2024 10:18:55	CENP	3º ano	Glyma.07G186300	7	Flower	18.26	Alto,1	Sim,flor	.	Sim	Não	Sobre a produção do soja	Tudo	Nenhuma
22/10/2024 10:21:50	ce nilo peçanha	3º ano	Glyma.04G116500	4	Epicotyl	Seedling	baixo, 0,154	sim, para todas as partes.	Serve como proteína, para repetição da ANQUIRINA para o gene da soja.	Sim	Não	Boa e descontraida.	Da dinamica	Não
22/10/2024 10:22:32	Nilo Peçanha 	3º ano	Glyma.01G063500	1	Marrom 	6.52 2.011	Alto, 1	Genes	Não sei 	Sim	Não	Nada 	Nada 	Não 
22/10/2024 10:22:57	Colégio Estadual Nilo Peçanha	3º ano	Glyma.01G079550	1	Casca da semente	Média;Casca da semente=18 Mediana;Supensor=14	0,88	Casca da semente,suspensor,endosperm	Por ser a casca da semente acho que a função dela é proteger.	Sim	Não	Que as plantas também tem seus próprios DNA e que as plantas ,não apenas a soja tem suas características e funções diferentes.	Descobrir os números,e as respostas que estavam bem na cara só que eu por não conhecer não soube responder mas com á ajuda consegui. 	Tudo que foi apresentado eu gostei e como tudo é novo pra mim ,não tenho nenhuma sugestão.
22/10/2024 10:28:42	Nilo peçanha	3º ano	Glyma.08G183500	08G183500	semente, embrião,tegumento	tegumento mediana 1517,32 média 1,53  semente mediana 102,91 média 3,11 embriâo média 9,71	não tem valor	não	ele está expresso nas partes de sementes, embrião, tegumento e transporta o açucar	Sim	Sim	aprendi mais sobre DNA e a soja 	maneira de reprodução da soja	não
22/10/2024 11:49:54	colegio estadual nilo peçanha	3º ano	Glyma.20G148400	está localizada no cromossomo 20.	seed,embryo,cotyledon	seed 60, embryo 40, cotyledon 20/40	0.845, ele alto mas está expresso em varias partes	é um gene especifico para a semente 	seria como a reprodução humana, serve para ela se reproduzir	Sim	Não	aprendi q uma planta tem mais genes que eu -_-	gostamos bastante da explicação e deram uma assistencia boa	não acho que precise que melhore esta tudo ok
22/10/2024 11:50:50	Nilo Peçanha	3º ano	Glyma.01G063500	Chr 01	Flor	Média 6, mediana 2	Alto 1	Flor	Ela é hermafrodita,serve pra produzir a soja.	Sim	Sim	Que o DNA é muito importante para identificar características das coisas 	Adquirir conhecimento sobre DNA da soja.	Não, achei muito divertidoe educativo.
22/10/2024 11:51:03	nilo pecanha 	3º ano	Glyma.02G069200	2	Na folha.	Média: 13,6 e Mediana: 9,7	1	Na folha.	É responsável por realizar a fotossíntese, através do mesmo a planta produz seu próprio alimento.	Sim	Sim	Aprendemos sobre o DNA da soja.	De tocar na soja	Está ótimo.
22/10/2024 11:52:41	Nilo Peçanha	3º ano	Glyma.07G268100	7	Cotilédone	Suspensor: mediana 255.15, média 2.267.	0,849 (largo). Se expressa em muitas partes da planta.	Não, pois se expressa em muitas partes da planta.	armazena nutrientes.	Sim	Não	Aprendemos sobre o DNA da soja e sobre sua germinação.	Tudo relacionado a atividade.	Não. Está perfeito.
22/10/2024 11:57:37	colegio estatudal nilo peçanha	3º ano	Glyma.12G205700	205700	cotilédone	1922420960	0.691 baixa	ele é espalhado por toda planta 	ele esta envolvido em processos regulatórios	Sim	Não	aprendemos ter mais atenção no que consumimos 	a parte investigativa	não
22/10/2024 11:58:12	CE Nilo Peçanha	3º ano	Glyma.15G260900	15	Nodulo	mediana : 221.5 media : 2.24	0.999 baixo	sim. A raiz da soja tem nodulos	Nodulos tem Bacterias que ajuda a absorver o nitrogenio	Sim	Sim	muita coisa	tudo	nao
22/10/2024 11:59:27	Nilo pesanha	3º ano	Glyma.02G121500	2	flor	Mediana 61.03 Media 58.43	0.882, alto	tegumento, vagem e flor 	regulaçao em tegumento, vagem e flor	Não	Sim	de tudo mais um pouco	de ser detetive. 	nao
22/10/2024 12:03:49	Nilo Peçanha	3º ano	Glyma.16G043200	0,627	vagem,plantula e nodulo	969549670	0,627	Não	Envolvido com resistencia com a seca.	Sim	Sim	sobre a reproduçao 	a participaçao dos alunos 	nao 

